"","Title","Year.gschol","source.gschol","Abstract.gschol","Year.pubmed","source.pubmed","Year.webos","source.webos","Abstract.webos"
"23","A Cautionary Note About Estimating Effects of Secondary Exposures in Cohort Studies",NA,NA,NA,NA,NA,2015,"Web of Science","Cohort studies are often enriched for a primary exposure of interest to improve cost-effectiveness, which presents analytical challenges not commonly discussed in epidemiology. In this paper, we use causal diagrams to represent exposure-enriched cohort studies, illustrate a scenario wherein the risk ratio for the effect of a secondary exposure on an outcome is biased, and propose an analytical method for correcting for such bias. In our motivating example, maternal smoking (Z) is a cause of fetal growth restriction (X), which subsequently affects preterm birth (Y) (i.e., Z -> X -> Y); strong positive associations exist between both Z, X and X, Y; and enrichment for X increases its prevalence from 10% to 50%. In the X-enriched cohort, unadjusted and X-adjusted analyses lead to bias in the risk ratio for the total effect of Z on Y. After application of inverse probability weights, the bias is corrected, with a small loss of efficiency in comparison with a same-sized study without X-enrichment. With increasing interest in conducting secondary analyses to reduce research costs, caution should be employed when analyzing studies that have already been enriched, intentionally or unintentionally, for a primary exposure of interest. Causal diagrams can help identify scenarios in which secondary analyses may be biased. Inverse probability weights can be used to remove the bias."
"24","A cautionary note for plasmode simulation studies in the setting of causal inference",2025,"Google Scholar","… challenges including rare events, small sample size, etc., that … biased with lower than nominal confidence interval coverage. … same issue for propensity score matching estimators. These …",NA,NA,NA,NA,NA
"25","A Commensurate Prior Model With Random Effects for Survival and Competing Risk Outcomes to Accommodate Historical Controls",NA,NA,NA,NA,NA,2025,"Web of Science","Clinical trials (CTs) often suffer from small sample sizes due to limited budgets and patient enrollment challenges. Using historical data for the CT data analysis may boost statistical power and reduce the required sample size. Existing methods on borrowing information from historical data with right-censored outcomes did not consider matching between historical data and CT data to reduce the heterogeneity. In addition, they studied the survival outcome only, not competing risk outcomes. Therefore, we propose a clustering-based commensurate prior model with random effects for both survival and competing risk outcomes that effectively borrows information based on the degree of comparability between historical and CT data. Simulation results show that the proposed method controls type I errors better and has a lower bias than some competing methods. We apply our method to a phase III CT which compares the effectiveness of bone marrow donated from family members with only partially matched bone marrow versus two partially matched cord blood units to treat leukemia and lymphoma."
"26","A comparative study on high-dimensional bayesian regression with binary predictors",NA,NA,NA,NA,NA,2023,"Web of Science","Bayesian regression models have been widely studied and adopted in the statistical literature. Many studies consider the development of reliable priors to select the relevant variables and derive accurate posterior predictive distributions. Moreover in the context of small high-dimensional data, where the number of observations is very small with respect to the number of predictors, sparsity is assumed and many parameters can be set to values dose to zero without affecting the fit of the model. Aim of this work is to develop a comparative analysis to empirically evaluate the performances of several Bayesian regression approaches in these contexts. In this study we assume that the predictors can be expressed only as binary variables coding the presence or the absence of a particular characteristic of the system. This binary structure is often present in many real studies, in particular in laboratory experimentation and in very high-dimension genome wide association studies."
"27","A COMPARISON OF 2 METHODS OF ESTIMATING A COMMON RISK DIFFERENCE IN A STRATIFIED ANALYSIS OF A MULTICENTER CLINICAL-TRIAL",NA,NA,NA,NA,NA,1994,"Web of Science","In this paper, we compare two methods of estimating the difference between the proportion of adverse events in a test treatment group and the proportion of adverse events in a control treatment group in a multicenter clinical trial. We used simulated data to compare the bias and mean squared error of the weighted least squares estimator to the bias and mean squared error of the Cochran-Mantel-Haenszel estimator. We also computed the coverage probabilities for confidence intervals derived from these estimators. We found that the weighted least squares method was often seriously biased. The coverage probabilities for the Cochran-Mantel-Haenszel estimators were often closer to their nominal values than were the coverage probabilities for the weighted least squares estimators. It also was found that these methods require a larger sample size to maintain coverage probabilities near their nominal values when unequal numbers of persons are assigned to the test and control treatments."
"28","A comparison of bias and mean squared error in parameter estimates of interaction effects: Moderated multiple regression versus errors-in-variables regression",NA,NA,NA,NA,NA,1996,"Web of Science","The results of moderated multiple regression (MMR) are highly affected by the unreliability of the predictor variables (regressors). Errors-in-variables regression (EIVR) may remedy this problem as it corrects for measurement error in the regressors, and thus provides less biased parameter estimates. However, little is known about the properties of the EIVR estimators in the moderator variable context. The present study used simulation methods to compare the moderator variable detection capabilities of MMR and EIVR. Specifically, the study examined the bias and mean squared error of the MMR and EIVR estimates under varying conditions of sample size, reliability of the predictor variables, and intercorrelations among the predictor variables. Findings showed that EIVR estimates are superior to MMR estimates when sample size is high (i.e., at least 250) and the reliabilities of the predictors are high (i.e., r(ii) greater than or equal to .65). However, MMR appears to be the better strategy when reliabilities or sample size are low."
"29","A comparison of conditional and unconditional randomization tests for highly stratified designs",NA,NA,NA,NA,NA,1998,"Web of Science","An unconditional randomization procedure is proposed for use in highly stratified randomized experiments where the sample size assigned to each treatment cannot be fixed in advance. This procedure is contrasted to the usual conditional randomization procedure in which sample sizes assigned within randomization units are treated as fixed and randomization units without both treatments assigned are deleted. The unconditional procedure is shown to have superior power for the populations studied."
"30","A comparison of covariate adjustment approaches under model misspecification in individually randomized trials",NA,NA,NA,2023,"PubMed",2023,"Web of Science","Adjustment for baseline covariates in randomized trials has been shown to lead to gains in power and can protect against chance imbalances in covariates. For continuous covariates, there is a risk that the the form of the relationship between the covariate and outcome is misspecified when taking an adjusted approach. Using a simulation study focusing on individually randomized trials with small sample sizes, we explore whether a range of adjustment methods are robust to misspecification, either in the covariate-outcome relationship or through an omitted covariate-treatment interaction. Specifically, we aim to identify potential settings where G-computation, inverse probability of treatment weighting (IPTW), augmented inverse probability of treatment weighting (AIPTW) and targeted maximum likelihood estimation (TMLE) offer improvement over the commonly used analysis of covariance (ANCOVA). Our simulations show that all adjustment methods are generally robust to model misspecification if adjusting for a few covariates, sample size is 100 or larger, and there are no covariate-treatment interactions. When there is a non-linear interaction of treatment with a skewed covariate and sample size is small, all adjustment methods can suffer from bias; however, methods that allow for interactions (such as G-computation with interaction and IPTW) show improved results compared to ANCOVA. When there are a high number of covariates to adjust for, ANCOVA retains good properties while other methods suffer from under- or over-coverage. An outstanding issue for G-computation, IPTW and AIPTW in small samples is that standard errors are underestimated; they should be used with caution without the availability of small-sample corrections, development of which is needed. These findings are relevant for covariate adjustment in interim analyses of larger trials."
"31","A comparison of doubly robust estimators of the mean with missing data",NA,NA,NA,NA,NA,2015,"Web of Science","We consider data with a continuous outcome that is missing at random and a fully observed set of covariates. We compare by simulation a variety of doubly-robust (DR) estimators for estimating the mean of the outcome. An estimator is DR if it is consistent when either the regression model for the mean function or the propensity to respond is correctly specified. Performance of different methods is compared in terms of root mean squared error of the estimates and width and coverage of confidence intervals or posterior credibility intervals in repeated samples. Overall, the DR methods tended to yield better inference than the incorrect model when either the propensity or mean model is correctly specified, but were less successful for small sample sizes, where the asymptotic DR property is less consequential. Two methods tended to outperform the other DR methods: penalized spline of propensity prediction [Little RJA, An H. Robust likelihood-based analysis of multivariate data with missing values. Statist Sinica. 2004;14:949-968] and the robust method proposed in [Cao W, Tsiatis AA, Davidian M. Improving efficiency and robustness of the doubly robust estimator for a population mean with incomplete data. Biometrika. 2009;96:723-734]."
"32","A comparison of frameworks for the joint analysis of mediation and moderation effects",2008,"Google Scholar","… simulation study where the relative bias of point and standard error estimators, power, Type 1 error, and confidence interval coverage for the … Very small sample sizes were not examined …",NA,NA,NA,NA,NA
"33","A comparison of parametric propensity score‐based methods for causal inference with multiple treatments and a binary outcome",2021,"Google Scholar","… of IPW is the augmented inverse probability weighting (AIPW), … and reduce bias of some common weighting estimators (eg, … simulation studies to assess the finite sample properties of …",NA,NA,NA,NA,NA
"34","A comparison of permutation and mixed-model regression methods for the analysis of simulated data in the context of a group-randomized trial",NA,NA,NA,NA,NA,2006,"Web of Science","Our first purpose was to determine whether, in the context of a group-randomized trial (GRT) with Gaussian errors, permutation or mixed-model regression methods fare better in the presence of measurable confounding in terms of their Monte Carlo type I error rates and power. Our results indicate that given a proper randomization, the type I error rate is similar for both methods, whether unadjusted or adjusted, even in small studies. However, our results also show that should the investieator face the unfortunate circumstance in which modest confounding exists in the only realization available, the unadjusted analysis risks a type I error; in this regard, there was little to distinguish the two methods. Finally, our results show that power is similar for the two methods and, not surprisingly, better for the adjusted tests. Our second purpose was to examine the relative performance of pen-nutation and mixed-model regression methods in the context of a GRT when the normality assumptions underlying the mixed model are violated. Published studies have examined the impact of violation of this assumption at the member level only. Our findings indicate that both methods perforrn well when the assumption is violated so long as the ICC is very small and the design is balanced at the group level. However, at ICC >= 0.01, the permutation test carries the nominal type I error rate while the model-based test is conservative and so less powerful. Binomial group- and member-level errors did not otherwise change the relative performance of the two methods with regard to confounding. Copyright (c) 2005 John Wiley & Sons, Ltd."
"35","A Comparison of Propensity Score Weighting Methods for Evaluating the Effects of Programs With Multiple Versions",NA,NA,NA,NA,NA,2019,"Web of Science","This Monte Carlo simulation study compares methods to estimate the effects of programs with multiple versions when assignment of individuals to program version is not random. These methods use generalized propensity scores, which are predicted probabilities of receiving a particular level of the treatment conditional on covariates, to remove selection bias. The results indicate that inverse probability of treatment weighting (IPTW) removes the most bias, followed by optimal full matching (OFM), and marginal mean weighting through stratification (MMWTS). The study also compared standard error estimation with Taylor series linearization, bootstrapping and the jackknife across propensity score methods. With IPTW, these standard error estimation methods performed adequately, but standard errors estimates were biased in most conditions with OFM and MMWTS."
"36","A comparison of random forest-based missing imputation methods for covariates in propensity score analysis",NA,NA,NA,2024,"PubMed",NA,NA,NA
"37","A Comparison of Random Forest-Based Missing Imputation Methods for Covariates in Propensity Score Analysis",NA,NA,NA,NA,NA,2024,"Web of Science","Propensity score analysis (PSA) is a prominent method to alleviate selection bias in observational studies, but missing data in covariates is prevalent and must be dealt with during propensity score estimation. Through Monte Carlo simulations, this study evaluates the use of imputation methods based on multiple random forests algorithms to handle missing data in covariates: multivariate imputation by chained equations-random forest (Caliber), proximity imputation (PI), and missForest. The results indicated that PI and missForest outperformed other methods with respect to bias of average treatment effect regardless of sample size and missing mechanisms. A demonstration of these five methods with PSA to evaluate the effect of participation in center-based care on children's reading ability is provided using data from the Early Childhood Longitudinal Study, Kindergarten Class of 2010-2011."
"38","A comparison of random forest-based missing imputation methods for covariates in propensity score analysis.",2024,"Google Scholar","… Through Monte Carlo simulations, this study evaluates the … Through the Monte Carlo Simulation, this section compares … Such studies often have small sample sizes due to low …",NA,NA,NA,NA,NA
"39","A Comparison of the Statistical Power of Different Methods for the Analysis of Repeated Cross-Sectional Cluster Randomization Trials with Binary Outcomes",NA,NA,NA,NA,NA,2010,"Web of Science","Repeated cross-sectional cluster randomization trials are cluster randomization trials in which the response variable is measured on a sample of subjects from each cluster at baseline and on a different sample of subjects from each cluster at follow-up. One can estimate the effect of the intervention on the follow-up response alone, on the follow-up responses after adjusting for baseline responses, or on the change in the follow-up response from the baseline response. We used Monte Carlo simulations to determine the relative statistical power of different methods of analysis. We examined methods of analysis based on generalized estimating equations (GEE) and a random effects model to account for within-cluster homogeneity. We also examined cluster-level analyses that treated the cluster as the unit of analysis. We found that the use of random effects models to estimate the effect of the intervention on the change in the follow-up response from the baseline response had lower statistical power compared to the other competing methods across a wide range of scenarios. The other methods tended to have similar statistical power in many settings. However, in some scenarios, those analyses that adjusted for the baseline response tended to have marginally greater power than did methods that did not account for the baseline response."
"40","A comprehensive impact evaluation of active labour market programmes in Slovenia",NA,NA,NA,NA,NA,2022,"Web of Science","Using administrative database containing work history and programme participation for the entire national workforce, the paper evaluates Slovenia's four main active labour market programmes: institutional training, on-the-job training, wage subsidies and public works. The studied outcomes range from post-unemployment employment probability and job quality to cumulative effects on employment and earnings over the longer run, and also include programmes' cost-effectiveness. We identify programme effects by comparing outcomes of treatment and control groups using propensity score matching. The results show that the programmes perform rather well judged both by their impact on labour market outcomes and by their cost-effectiveness: except for public works, all programmes are found to have a net benefit in terms of government expenditures. Our results are robust to time-invariant unobserved heterogeneity in the treatment and control groups, as we corroborate the baseline propensity score matching results with a difference-in-difference estimator."
"41","A COMPREHENSIVE PIPELINE FOR CLASS COMPARISON AND CLASS PREDICTION IN CANCER RESEARCH",2015,"Google Scholar","… of genomic data, mainly due to the small sample size ([18]), producing … version, we used the Monte Carlo approach to find the … We set a simulation study to evaluate the performance of …",NA,NA,NA,NA,NA
"42","A Comprehensive Review and Tutorial on Confounding Adjustment Methods for Estimating Treatment Effects Using Observational Data",NA,NA,NA,NA,NA,2024,"Web of Science","Controlling for confounding bias is crucial in causal inference. Causal inference using data from observational studies (e.g., electronic health records) or imperfectly randomized trials (e.g., imperfect randomization or compliance) requires accounting for confounding variables. Many different methods are currently employed to mitigate bias due to confounding. This paper provides a comprehensive review and tutorial of common estimands and confounding adjustment approaches, including outcome regression, g-computation, propensity score, and doubly robust methods. We discuss bias and precision, advantages and disadvantages, and software implementation for each method. Moreover, approaches are illustrated empirically with a reproducible case study. We conclude that different scientific questions are better addressed by certain estimands. No estimand is uniformly more appropriate. Upon selecting an estimand, decisions on which estimator can be driven by performance and available background knowledge."
"43","A couples-based intervention and postpartum contraceptive uptake in Zambézia Province, Mozambique",2022,"Google Scholar","… + intervention session, among female and male participants separately, impacted modern postpartum contraceptive uptake in the intervention arm using inverse probability weighting (…",NA,NA,NA,NA,NA
"44","A covariate selection criterion for estimation of treatment effects",2015,"Google Scholar","… In Section 6, we conduct Monte Carlo simulations to … We also define the propensity score as p j X j ≡ Pr D = 1 | X j . … To obtain the confidence interval, we propose to use the simulation-…",NA,NA,NA,NA,NA
"45","A data-adaptive method for investigating effect heterogeneity with high-dimensional covariates in Mendelian randomization",NA,NA,NA,NA,NA,2024,"Web of Science","BackgroundMendelian randomization is a popular method for causal inference with observational data that uses genetic variants as instrumental variables. Similarly to a randomized trial, a standard Mendelian randomization analysis estimates the population-averaged effect of an exposure on an outcome. Dividing the population into subgroups can reveal effect heterogeneity to inform who would most benefit from intervention on the exposure. However, as covariates are measured post-randomization, naive stratification typically induces collider bias in stratum-specific estimates.MethodWe extend a previously proposed stratification method (the doubly-ranked method) to form strata based on a single covariate, and introduce a data-adaptive random forest method to calculate stratum-specific estimates that are robust to collider bias based on a high-dimensional covariate set. We also propose measures based on the Q statistic to assess heterogeneity between stratum-specific estimates (to understand whether estimates are more variable than expected due to chance alone) and variable importance (to identify the key drivers of effect heterogeneity).ResultWe show that the effect of body mass index (BMI) on lung function is heterogeneous, depending most strongly on hip circumference and weight. While for most individuals, the predicted effect of increasing BMI on lung function is negative, it is positive for some individuals and strongly negative for others.ConclusionOur data-adaptive approach allows for the exploration of effect heterogeneity in the relationship between an exposure and an outcome within a Mendelian randomization framework. This can yield valuable insights into disease aetiology and help identify specific groups of individuals who would derive the greatest benefit from targeted interventions on the exposure."
"46","A Data Fusion Method for Quantile Treatment Effects",2023,"Google Scholar","… the confounders but suffers from small sample size and the other is … tor and a parametric inverse probability weighting (IPW) … We call the latter one the pseudo propensity score as it does …",NA,NA,NA,NA,NA
"47","A decorrelation method for general regression adjustment in randomized experiments",2023,"Google Scholar","… intervals by averaging 100 independent Monte Carlo trials. … can remove bias to some extent, so that its confidence interval … a phase transition: with a small sample size (so that the typical …",NA,NA,NA,NA,NA
"48","A Discussion of Weighting Procedures for Unit Nonresponse",NA,NA,NA,NA,NA,2016,"Web of Science","Weighting procedures are commonly applied in surveys to compensate for nonsampling errors such as nonresponse errors and coverage errors. Two types of weight-adjustment procedures are commonly used in the context of unit nonresponse: (i) nonresponse propensity weighting followed by calibration, also known as the two-step approach and (ii) nonresponse calibration weighting, also known as the one-step approach. In this article, we discuss both approaches and warn against the potential pitfalls of the one-step procedure. Results from a simulation study, evaluating the properties of several point estimators, are presented."
"49","A doubly robust estimator for continuous treatments in high dimensions",NA,NA,NA,2025,"PubMed",NA,NA,NA
"50","A framework for understanding selection bias in real-world healthcare data",NA,NA,NA,2024,"PubMed",2024,"Web of Science","Using administrative patient-care data such as Electronic Health Records (EHR) and medical/pharmaceutical claims for population-based scientific research has become increasingly common. With vast sample sizes leading to very small standard errors, researchers need to pay more attention to potential biases in the estimates of association parameters of interest, specifically to biases that do not diminish with increasing sample size. Of these multiple sources of biases, in this paper, we focus on understanding selection bias. We present an analytic framework using directed acyclic graphs for guiding applied researchers to dissect how different sources of selection bias may affect estimates of the association between a binary outcome and an exposure (continuous or categorical) of interest. We consider four easy-to-implement weighting approaches to reduce selection bias with accompanying variance formulae. We demonstrate through a simulation study when they can rescue us in practice with analysis of real-world data. We compare these methods using a data example where our goal is to estimate the well-known association of cancer and biological sex, using EHR from a longitudinal biorepository at the University of Michigan Healthcare system. We provide annotated R codes to implement these weighted methods with associated inference."
"51","A general form of covariate adjustment in clinical trials under covariate-adaptive randomization",NA,NA,NA,NA,NA,2025,"Web of Science","In randomized clinical trials, adjusting for baseline covariates can improve credibility and efficiency for demonstrating and quantifying treatment effects. This article studies the augmented inverse propensity weighted estimator, which is a general form of covariate adjustment that uses linear, generalized linear and nonparametric or machine learning models for the conditional mean of the response given covariates. Under covariate-adaptive randomization, we establish general theorems that show a complete picture of the asymptotic normality, efficiency gain and applicability of augmented inverse propensity weighted estimators. In particular, we provide for the first time a rigorous theoretical justification of using machine learning methods with cross-fitting for dependent data under covariate-adaptive randomization. Based on the general theorems, we offer insights on the conditions for guaranteed efficiency gain and universal applicability under different randomization schemes, which also motivate a joint calibration strategy using some constructed covariates after applying augmented inverse propensity weighted estimators."
"52","A hybrid prior Bayesian method for combining domestic real-world data and overseas data in global drug development",NA,NA,NA,2026,"PubMed",NA,NA,NA
"53","A Martingale Representation for Matching Estimators",NA,NA,NA,NA,NA,2012,"Web of Science","Matching estimators are widely used in statistical data analysis. However, the large sample distribution of matching estimators has been derived only for particular cases. This article establishes a martingale representation for matching estimators. This representation allows the use of martingale limit theorems to derive the large sample distribution of matching estimators. As an illustration of the applicability of the theory, we derive the asymptotic distribution of a matching estimator when matching is carried Out without replacement, a result previously unavailable in the literature. In addition, we apply the techniques proposed in this article to derive a correction to the standard error of a sample mean when missing data are imputed using the hot deck, a matching imputation method widely used in the Current Population Survey (CPS) and other large surveys in the social sciences. We demonstrate the empirical relevance of our methods using two Monte Carlo designs based on actual datasets. In these Monte Carlo exercises, the large sample distribution of matching estimators derived in this article provides an accurate approximation to the small sample behavior of these estimators. In addition, our simulations show that standard errors that do not take into account hot-deck imputation of missing data may be severely downward biased, while standard errors that incorporate the correction for hot-deck imputation perform extremely well. This article has online supplementary materials."
"54","A method making fewer assumptions gave the most reliable estimates of exposure-outcome associations in stratified case-cohort studies",NA,NA,NA,NA,NA,2015,"Web of Science","Objective: A case cohort study is an efficient epidemiological study design for estimating exposure outcome associations. When sampling of the subcohort is stratified, several methods of analysis are possible, but it is unclear how they compare. Our objective was to compare five analysis methods using Cox regression for this type of data, ranging from a crude model that ignores the stratification to a flexible one that allows nonproportional hazards and varying covariate effects across the strata. Study Design and Setting: We applied the five methods to estimate the association between physical activity and incident type 2 diabetes using data from a stratified case cohort study and also used artificial data sets to exemplify circumstances in which they can give different results. Results: In the diabetes study, all methods except the method that ignores the stratification gave similar results for the hazard ratio associated with physical activity. In the artificial data sets, the more flexible methods were shown to be necessary when certain assumptions of the simpler models failed. The most flexible method gave reliable results for all the artificial data sets. Conclusion: The most flexible method is computationally straightforward, and appropriate whether or not key assumptions made by the simpler models are valid. (C) 2015 The Authors. Published by Elsevier Inc."
"55","A method of bias correction for maximal reliability with dichotomous measures",NA,NA,NA,NA,NA,2010,"Web of Science","This paper is concerned with the reliability of weighted combinations of a given set of dichotomous measures. Maximal reliability for such measures has been discussed in the past, but the pertinent estimator exhibits a considerable bias and mean squared error for moderate sample sizes. We examine this bias, propose a procedure for bias correction, and develop a more accurate asymptotic confidence interval for the resulting estimator. In most empirically relevant cases, the bias correction and mean squared error correction can be performed simultaneously. We propose an approximate (asymptotic) confidence interval for the maximal reliability coefficient, discuss the implementation of this estimator, and investigate the mean squared error of the associated asymptotic approximation. We illustrate the proposed methods using a numerical example."
